parameter,value,unit,period_from_utc,period_to_utc,summary_min,summary_max,coverage_percent,coverage_observed_count
bc,1.67,µg/m³,2018-11-20T23:00:00Z,2018-11-21T23:00:00Z,1.350000023841858,1.8700000047683716,25.0,6
bc,1.92,µg/m³,2018-11-21T23:00:00Z,2018-11-22T23:00:00Z,0.6800000071525574,4.829999923706055,100.0,24
bc,3.03,µg/m³,2018-11-22T23:00:00Z,2018-11-23T23:00:00Z,1.600000023841858,6.150000095367432,100.0,24
bc,5.29,µg/m³,2018-11-23T23:00:00Z,2018-11-24T23:00:00Z,2.259999990463257,14.789999961853027,100.0,24
bc,5.63,µg/m³,2018-11-24T23:00:00Z,2018-11-25T23:00:00Z,2.8499999046325684,8.84000015258789,100.0,24
bc,3.02,µg/m³,2018-11-25T23:00:00Z,2018-11-26T23:00:00Z,1.7300000190734863,6.5,100.0,24
bc,2.96,µg/m³,2018-11-26T23:00:00Z,2018-11-27T23:00:00Z,1.2599999904632568,6.639999866485596,100.0,24
bc,2.63,µg/m³,2018-11-27T23:00:00Z,2018-11-28T23:00:00Z,1.1399999856948853,4.909999847412109,100.0,24
bc,1.76,µg/m³,2018-11-28T23:00:00Z,2018-11-29T23:00:00Z,1.149999976158142,2.7100000381469727,100.0,24
bc,2.38,µg/m³,2018-11-29T23:00:00Z,2018-11-30T23:00:00Z,1.4299999475479126,6.380000114440918,100.0,24
bc,4.98,µg/m³,2018-11-30T23:00:00Z,2018-12-01T23:00:00Z,1.9500000476837158,14.920000076293945,100.0,24
bc,3.49,µg/m³,2018-12-01T23:00:00Z,2018-12-02T23:00:00Z,2.0899999141693115,6.199999809265137,96.0,23
bc,3.46,µg/m³,2018-12-02T23:00:00Z,2018-12-03T23:00:00Z,1.6299999952316284,10.90999984741211,100.0,24
bc,2.21,µg/m³,2018-12-03T23:00:00Z,2018-12-04T23:00:00Z,1.3300000429153442,3.140000104904175,63.0,15
bc,3.76,µg/m³,2018-12-04T23:00:00Z,2018-12-05T23:00:00Z,1.2899999618530273,6.400000095367432,63.0,15
bc,3.85,µg/m³,2018-12-05T23:00:00Z,2018-12-06T23:00:00Z,2.069999933242798,8.5,100.0,24
bc,2.75,µg/m³,2018-12-06T23:00:00Z,2018-12-07T23:00:00Z,1.2899999618530273,7.809999942779541,100.0,24
bc,1.86,µg/m³,2018-12-07T23:00:00Z,2018-12-08T23:00:00Z,0.699999988079071,5.820000171661377,92.0,22
bc,1.55,µg/m³,2018-12-08T23:00:00Z,2018-12-09T23:00:00Z,0.6000000238418579,3.490000009536743,100.0,24
bc,1.22,µg/m³,2018-12-09T23:00:00Z,2018-12-10T23:00:00Z,0.49000000953674316,4.760000228881836,100.0,24
bc,2.37,µg/m³,2018-12-10T23:00:00Z,2018-12-11T23:00:00Z,0.5899999737739563,5.409999847412109,100.0,24
bc,2.41,µg/m³,2018-12-11T23:00:00Z,2018-12-12T23:00:00Z,1.5099999904632568,4.090000152587891,100.0,24
bc,1.8,µg/m³,2018-12-12T23:00:00Z,2018-12-13T23:00:00Z,1.1200000047683716,3.240000009536743,88.0,21
bc,2.48,µg/m³,2018-12-14T23:00:00Z,2018-12-15T23:00:00Z,2.4800000190734863,2.4800000190734863,4.0,1
bc,4.14,µg/m³,2018-12-15T23:00:00Z,2018-12-16T23:00:00Z,3.4800000190734863,5.119999885559082,21.0,5
bc,5.26,µg/m³,2018-12-16T23:00:00Z,2018-12-17T23:00:00Z,2.490000009536743,9.630000114440918,100.0,24
bc,4.67,µg/m³,2018-12-17T23:00:00Z,2018-12-18T23:00:00Z,2.4200000762939453,10.1899995803833,100.0,24
bc,3.04,µg/m³,2018-12-18T23:00:00Z,2018-12-19T23:00:00Z,2.1700000762939453,4.739999771118164,100.0,24
bc,4.54,µg/m³,2018-12-19T23:00:00Z,2018-12-20T23:00:00Z,2.7200000286102295,8.510000228881836,100.0,24
bc,3.73,µg/m³,2018-12-20T23:00:00Z,2018-12-21T23:00:00Z,2.549999952316284,9.319999694824219,100.0,24
bc,1.47,µg/m³,2018-12-21T23:00:00Z,2018-12-22T23:00:00Z,0.6800000071525574,2.880000114440918,100.0,24
bc,1.85,µg/m³,2018-12-22T23:00:00Z,2018-12-23T23:00:00Z,0.8600000143051147,3.2799999713897705,100.0,24
bc,1.22,µg/m³,2018-12-23T23:00:00Z,2018-12-24T23:00:00Z,0.7200000286102295,2.200000047683716,96.0,23
bc,1.56,µg/m³,2018-12-24T23:00:00Z,2018-12-25T23:00:00Z,0.8199999928474426,3.8299999237060547,100.0,24
bc,1.07,µg/m³,2018-12-25T23:00:00Z,2018-12-26T23:00:00Z,0.44999998807907104,2.190000057220459,100.0,24
bc,1.38,µg/m³,2018-12-26T23:00:00Z,2018-12-27T23:00:00Z,0.5299999713897705,3.130000114440918,92.0,22
bc,1.21,µg/m³,2018-12-27T23:00:00Z,2018-12-28T23:00:00Z,0.5199999809265137,2.4200000762939453,92.0,22
bc,1.57,µg/m³,2018-12-28T23:00:00Z,2018-12-29T23:00:00Z,0.6499999761581421,5.570000171661377,100.0,24
bc,1.48,µg/m³,2018-12-29T23:00:00Z,2018-12-30T23:00:00Z,0.800000011920929,3.8399999141693115,100.0,24
bc,1.26,µg/m³,2018-12-30T23:00:00Z,2018-12-31T23:00:00Z,0.3199999928474426,5.78000020980835,100.0,24
bc,1.03,µg/m³,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,0.5299999713897705,1.909999966621399,100.0,24
bc,0.69,µg/m³,2019-01-01T23:00:00Z,2019-01-02T23:00:00Z,0.3700000047683716,1.2300000190734863,100.0,24
bc,0.905,µg/m³,2019-01-02T23:00:00Z,2019-01-03T23:00:00Z,0.4300000071525574,1.850000023841858,100.0,24
bc,2.22,µg/m³,2019-01-03T23:00:00Z,2019-01-04T23:00:00Z,0.9300000071525574,3.8399999141693115,100.0,24
bc,1.02,µg/m³,2019-01-04T23:00:00Z,2019-01-05T23:00:00Z,0.6100000143051147,1.75,100.0,24
bc,1.6,µg/m³,2019-01-05T23:00:00Z,2019-01-06T23:00:00Z,0.44999998807907104,5.760000228881836,100.0,24
bc,5.01,µg/m³,2019-01-06T23:00:00Z,2019-01-07T23:00:00Z,2.9800000190734863,8.289999961853027,100.0,24
bc,3.26,µg/m³,2019-01-07T23:00:00Z,2019-01-08T23:00:00Z,2.0399999618530273,5.079999923706055,100.0,24
bc,2.67,µg/m³,2019-01-08T23:00:00Z,2019-01-09T23:00:00Z,0.7400000095367432,5.769999980926514,100.0,24
bc,3.05,µg/m³,2019-01-09T23:00:00Z,2019-01-10T23:00:00Z,2.5999999046325684,3.5899999141693115,100.0,24
bc,2.96,µg/m³,2019-01-10T23:00:00Z,2019-01-11T23:00:00Z,1.6100000143051147,4.75,100.0,24
bc,1.95,µg/m³,2019-01-11T23:00:00Z,2019-01-12T23:00:00Z,0.75,4.650000095367432,100.0,24
bc,1.25,µg/m³,2019-01-12T23:00:00Z,2019-01-13T23:00:00Z,1.25,1.25,4.0,1
bc,1.05,µg/m³,2019-01-13T23:00:00Z,2019-01-14T23:00:00Z,0.3100000023841858,2.2300000190734863,88.0,21
bc,1.23,µg/m³,2019-01-14T23:00:00Z,2019-01-15T23:00:00Z,0.4399999976158142,2.7100000381469727,100.0,24
bc,1.42,µg/m³,2019-01-15T23:00:00Z,2019-01-16T23:00:00Z,0.3499999940395355,4.059999942779541,100.0,24
bc,2.92,µg/m³,2019-01-16T23:00:00Z,2019-01-17T23:00:00Z,1.0199999809265137,9.819999694824219,100.0,24
bc,1.41,µg/m³,2019-01-17T23:00:00Z,2019-01-18T23:00:00Z,0.4099999964237213,2.5399999618530273,96.0,23
bc,3.3,µg/m³,2019-01-18T23:00:00Z,2019-01-19T23:00:00Z,1.409999966621399,8.460000038146973,100.0,24
bc,3.46,µg/m³,2019-01-19T23:00:00Z,2019-01-20T23:00:00Z,1.75,6.380000114440918,100.0,24
bc,2.89,µg/m³,2019-01-20T23:00:00Z,2019-01-21T23:00:00Z,1.4299999475479126,5.199999809265137,100.0,24
